"RUN_NUM","COMP_CD","POL_NUM","AGT_CD","AGT_RANK_CD","BNS_RATE","BNS_BASE","BNS_AMT","WRTN_AGT","RPT_LVL","PREV_YTD_BNS","CURR_YTD_BNS","PARM1_VAL","PARM2_VAL","PARM3_VAL","PARM4_VAL","PARM5_VAL","TRANS_AC_IND","BNS_MTH","GOR_GEN_LVL"
"202004","GABSYC","4248088314","G00051","BD","50","4040000","2020000","G00012","2","","","","","50","4040000","","","202004",""
"202004","GAGSYC","4248088314","G00002","BD","15","4040000","606000","G00051","3","","","25","0","15","4040000","","","202004","1"
"202004","GABFYC","4258254558","G00002","BD","100","4620","4620","G00003","2","","","100","4620","","","","","202004",""
"202004","GABSYC","4258254558","G00002","BD","50","84350","42175","G00003","2","","","","","50","84350","","","202004",""
"202004","GABSYC","4258259649","G00052","BD","50","250000","125000","G00034","2","","","","","50","250000","","","202004",""
"202004","GAGSYC","4258259649","G00002","BD","15","250000","37500","G00052","3","","","25","0","15","250000","","","202004","1"
"202004","GABFYC","4258259680","G00052","BD","100","360000","360000","G00014","2","","","100","360000","","","","","202004",""
"202004","GAGFYC","4258259680","G00002","BD","25","360000","90000","G00052","3","","","25","360000","15","0","","","202004","1"
"202004","GABSYC","4258259706","G00052","BD","50","1067100","533550","G00034","2","","","","","50","1067100","","","202004",""
"202004","GAGSYC","4258259706","G00002","BD","15","1067100","160065","G00052","3","","","25","0","15","1067100","","","202004","1"
"202004","GABSYC","4258259714","G00052","BD","50","1500000","750000","G00007","2","","","","","50","1500000","","","202004",""
"202004","GAGSYC","4258259714","G00002","BD","15","1500000","225000","G00052","3","","","25","0","15","1500000","","","202004","1"
"202004","GABSYC","4258259722","G00052","BD","50","150000","75000","G00008","2","","","","","50","150000","","","202004",""
"202004","GAGSYC","4258259722","G00002","BD","15","150000","22500","G00052","3","","","25","0","15","150000","","","202004","1"
"202004","GABSYC","4258259730","G00052","BD","50","150000","75000","G00008","2","","","","","50","150000","","","202004",""
"202004","GAGSYC","4258259730","G00002","BD","15","150000","22500","G00052","3","","","25","0","15","150000","","","202004","1"
"202004","GABFYC","4258264607","G00051","BD","100","300000","300000","G00012","2","","","100","300000","","","","","202004",""
"202004","GAGFYC","4258264607","G00002","BD","25","300000","75000","G00051","3","","","25","300000","15","0","","","202004","1"
"202004","GABFYC","4258264615","G00051","BD","100","300000","300000","G00012","2","","","100","300000","","","","","202004",""
"202004","GAGFYC","4258264615","G00002","BD","25","300000","75000","G00051","3","","","25","300000","15","0","","","202004","1"
"202004","GABSYC","4258290073","G00016","BSM","25","5103580","1275895","G00016","1","","","","","25","5103580","","","202004",""
"202004","GABSYC","4258290073","G00052","BD","25","5103580","1275895","G00016","2","","","","","25","5103580","","","202004",""
"202004","GAGSYC","4258290073","G00002","BD","15","5103580","765537","G00052","3","","","25","0","15","5103580","","","202004","1"
